Country,ReportID,Year,NumAuth,Agency,ReportSeries,Region,CountofRegions,URL,Title,FirstAuthor,AllAuthors,Citation,coll
Canada,Canadian data report of fisheries and aquatic sciences 176,1979,4,DFO,Canadian data report of fisheries and aquatic sciences,,,,"Data record : juvenile salmon and other fish species captured by 120-fathom purse seines in nearshore areas near Nanaimo, 1976-77","Schmidt, R.V.","Schmidt, R.V.; Healey, M.C.; Jordan, F.P.; Hungar, R.M.","Schmidt, R.V.; Healey, M.C.; Jordan, F.P.; Hungar, R.M./Data record : juvenile salmon and other fish species captured by 120-fathom purse seines in nearshore areas near Nanaimo, 1976-77/Canadian data report of fisheries and aquatic sciences",139 p
Canada,Canadian data report of fisheries and aquatic sciences 168,1979,3,DFO,Canadian data report of fisheries and aquatic sciences,,,,"Data record : juvenile salmon and other fish species captured by 50-fathom purse seines in nearshore areas near Nanaimo, 1976","Schmidt, R.V: Healey, M.C.","Schmidt, R.V: Healey, M.C.; Jordan, F.P.; Hungar, R.M.","Schmidt, R.V: Healey, M.C.; Jordan, F.P.; Hungar, R.M./Data record : juvenile salmon and other fish species captured by 50-fathom purse seines in nearshore areas near Nanaimo, 1976/Canadian data report of fisheries and aquatic sciences",83 p
Canada,Canadian data report of fisheries and aquatic sciences 170,1979,2,DFO,Canadian data report of fisheries and aquatic sciences,,,,"Densities of freshwater fishes (non-Atlantic salmon), Miramichi River system, New Brunswick, 1970-1978","Schofield, E.J.","Schofield, E.J.; Peppar, J.L.","Schofield, E.J.; Peppar, J.L./Densities of freshwater fishes (non-Atlantic salmon), Miramichi River system, New Brunswick, 1970-1978/Canadian data report of fisheries and aquatic sciences",43 p
Canada,Canadian data report of fisheries and aquatic sciences 171,1979,1,DFO,Canadian data report of fisheries and aquatic sciences,,,,"Capture and distribution of all fish species at St. John River power dams, New Brunswick, from construction years to 1971","Smith, K.E.","Smith, K.E.","Smith, K.E./Capture and distribution of all fish species at St. John River power dams, New Brunswick, from construction years to 1971/Canadian data report of fisheries and aquatic sciences",55 p
Canada,Canadian manuscript report of fisheries and aquatic sciences 1552,1979,5,DFO,Canadian manuscript report of fisheries and aquatic sciences,,,,Marine mammal studies in southeastern Baffin Island : final report to the Eastern Arctic Marine Environmental studies (EAMES) project,"Smith, T.G.","Smith, T.G.; Hammill, M.H.; Doidge, D.W.; Cartier, T.: Sleno, G.A.","Smith, T.G.; Hammill, M.H.; Doidge, D.W.; Cartier, T.: Sleno, G.A./Marine mammal studies in southeastern Baffin Island : final report to the Eastern Arctic Marine Environmental studies (EAMES) project/Canadian manuscript report of fisheries and aquatic sciences",70 p
Canada,Canadian data report of fisheries and aquatic sciences 173,1979,2,DFO,Canadian data report of fisheries and aquatic sciences,,,,"An examination of the biology and distribution of walleye pollock in Dixon Entrance, Hecate Strait, the mainland inlets off Queen Charlotte Sound, and in the Strait of Georgia during March 14 - April 21, 1978","Thompson, J.M.","Thompson, J.M.; Beamish, R.J.","Thompson, J.M.; Beamish, R.J./An examination of the biology and distribution of walleye pollock in Dixon Entrance, Hecate Strait, the mainland inlets off Queen Charlotte Sound, and in the Strait of Georgia during March 14 - April 21, 1978/Canadian data report of fisheries and aquatic sciences",188 p
Canada,Canadian data report of fisheries and aquatic sciences 164,1979,3,DFO,Canadian data report of fisheries and aquatic sciences,,,,"Zoobenthos data from upper Frobisher Bay, 1967 - 1973","Wacasey, J.W.","Wacasey, J.W.; Atkinson, E.G.; Glasspoole, L.","Wacasey, J.W.; Atkinson, E.G.; Glasspoole, L./Zoobenthos data from upper Frobisher Bay, 1967 - 1973/Canadian data report of fisheries and aquatic sciences",99 p
Canada,Canadian technical report of fisheries and aquatic sciences 932,1980,2,DFO,Canadian technical report of fisheries and aquatic sciences,,,,"Proceedings of the Canada-U.S. Workshop on Status of Assessment Science for N.W. Atlantic Lobster (Homarus americanus) Stocks (St. Andrews, N.B., Oct. 24-24, 1978)","Anthony, V.C.","Anthony, V.C.; Caddy, J.F.","Anthony, V.C.; Caddy, J.F./Proceedings of the Canada-U.S. Workshop on Status of Assessment Science for N.W. Atlantic Lobster (Homarus americanus) Stocks (St. Andrews, N.B., Oct. 24-24, 1978)/Canadian technical report of fisheries and aquatic sciences",186 p
Canada,Canadian data report of fisheries and aquatic sciences 223,1980,1,DFO,Canadian data report of fisheries and aquatic sciences,,,,Recoveries of salmon tagged offshore in the North Pacific Ocean by Japan and the United States in 1977 1978 and 1979 and additional recoveries from earlier taggings by Canada Japan and the United States,"Aro, K.V.","Aro, K.V.","Aro, K.V./Recoveries of salmon tagged offshore in the North Pacific Ocean by Japan and the United States in 1977 1978 and 1979 and additional recoveries from earlier taggings by Canada Japan and the United States/Canadian data report of fisheries and aquatic sciences",19 p
Canada,Canadian manuscript report of fisheries and aquatic sciences 1575,1980,3,DFO,Canadian manuscript report of fisheries and aquatic sciences,,,,"Morphometry of lakes and chemical analysis of water in the Heming Lake study area, Manitoba","Babaluk, J.A.","Babaluk, J.A.; Campbell, J.S.; Rowes, K.D.","Babaluk, J.A.; Campbell, J.S.; Rowes, K.D./Morphometry of lakes and chemical analysis of water in the Heming Lake study area, Manitoba/Canadian manuscript report of fisheries and aquatic sciences",21 p
Canada,Canadian manuscript report of fisheries and aquatic sciences 1594,1980,1,DFO,Canadian manuscript report of fisheries and aquatic sciences,,,,Pink salmon disparity : toward definition,"Barber, F.G.","Barber, F.G.","Barber, F.G./Pink salmon disparity : toward definition/Canadian manuscript report of fisheries and aquatic sciences",20 p
Canada,Canadian manuscript report of fisheries and aquatic sciences 1564,1980,1,DFO,Canadian manuscript report of fisheries and aquatic sciences,,,,Size distribution of pink salmon,"Barber, F.G.","Barber, F.G.","Barber, F.G./Size distribution of pink salmon/Canadian manuscript report of fisheries and aquatic sciences",20 p
Canada,Canadian data report of fisheries and aquatic sciences 206,1980,4,DFO,Canadian data report of fisheries and aquatic sciences,,,,"Midwater trawl tows and catches made on G.B. REED cruise, GBR79-7 off southwest coast of Vancouver Island, October 29 - November 16, 1979","Barner, L.W.","Barner, L.W.; Taylor, F.H.; Thompson, J.M.; Ryan, W.T.","Barner, L.W.; Taylor, F.H.; Thompson, J.M.; Ryan, W.T./Midwater trawl tows and catches made on G.B. REED cruise, GBR79-7 off southwest coast of Vancouver Island, October 29 - November 16, 1979/Canadian data report of fisheries and aquatic sciences",57 p
Canada,Canadian data report of fisheries and aquatic sciences 187,1980,4,DFO,Canadian data report of fisheries and aquatic sciences,,,,"Midwater and bottom trawl tows and catches made on M/V ARCTIC HARVESTER cruise, AH79-1, January 22 - February 9, 1979 in Dixon Entrance","Barner, L.W.","Barner, L.W.; Taylor, F.H.; Bennett, D.M.; Cave, J.","Barner, L.W.; Taylor, F.H.; Bennett, D.M.; Cave, J./Midwater and bottom trawl tows and catches made on M/V ARCTIC HARVESTER cruise, AH79-1, January 22 - February 9, 1979 in Dixon Entrance/Canadian data report of fisheries and aquatic sciences",145 p
Canada,Canadian manuscript report of fisheries and aquatic sciences 1588,1980,3,DFO,Canadian manuscript report of fisheries and aquatic sciences,,,,A summary of sablefish tagging and biological studies conducted during 1979 by the Pacific Biological Station,"Beamish, R.J.","Beamish, R.J.; Houle, C.; Scarsbrook, R.","Beamish, R.J.; Houle, C.; Scarsbrook, R./A summary of sablefish tagging and biological studies conducted during 1979 by the Pacific Biological Station/Canadian manuscript report of fisheries and aquatic sciences",194 p
Canada,Canadian data report of fisheries and aquatic sciences 192,1980,1,DFO,Canadian data report of fisheries and aquatic sciences,,,,"Surveys of ten lakes in Guysborough, Halifax, Hants and Lunenburg counties, Nova Scotia, 1978","Beanlands, D.I.","Beanlands, D.I.","Beanlands, D.I./Surveys of ten lakes in Guysborough, Halifax, Hants and Lunenburg counties, Nova Scotia, 1978/Canadian data report of fisheries and aquatic sciences",31 p.
Canada,Canadian data report of fisheries and aquatic sciences 190,1980,2,DFO,Canadian data report of fisheries and aquatic sciences,,,,"Length and age composition of English sole (Parophrys vetulus) in commercial landings from north Hecate Strait, British Columbia, 1973-1979","Bennett, D.M.","Bennett, D.M.; Stocker, M.","Bennett, D.M.; Stocker, M./Length and age composition of English sole (Parophrys vetulus) in commercial landings from north Hecate Strait, British Columbia, 1973-1979/Canadian data report of fisheries and aquatic sciences",22 p.
Canada,Canadian technical report of fisheries and aquatic sciences 942,1980,1,DFO,Canadian technical report of fisheries and aquatic sciences,,,,Preliminary report on the potential commercial squid of British Columbia,"Bernard, F.R.","Bernard, F.R.","Bernard, F.R./Preliminary report on the potential commercial squid of British Columbia/Canadian technical report of fisheries and aquatic sciences","iv, 51 p."
Canada,Canadian technical report of fisheries and aquatic sciences 996,1980,3,DFO,Canadian technical report of fisheries and aquatic sciences,,,,"Keeping quality of Pacific coast dogfish, Squalus acanthias. 1. Effects of freezing method and frozen storage temperature","Bilinski, E.","Bilinski, E.; Jonas, R.E.; Peters, M.D.","Bilinski, E.; Jonas, R.E.; Peters, M.D./Keeping quality of Pacific coast dogfish, Squalus acanthias. 1. Effects of freezing method and frozen storage temperature/Canadian technical report of fisheries and aquatic sciences","v, 26 p."
Canada,Canadian technical report of fisheries and aquatic sciences 925,1980,2,DFO,Canadian technical report of fisheries and aquatic sciences,,,,Returns to the fishery and escapement of adult coho salmon from accelerated and normally reared juveniles,"Bilton, H.T.","Bilton, H.T.; Jenkinson, D.W.","Bilton, H.T.; Jenkinson, D.W./Returns to the fishery and escapement of adult coho salmon from accelerated and normally reared juveniles/Canadian technical report of fisheries and aquatic sciences",0.958333333
Canada,Canadian technical report of fisheries and aquatic sciences 941,1980,1,DFO,Canadian technical report of fisheries and aquatic sciences,,,,Returns of adult coho salmon in relation to mean size and time at release of juveniles to the catch and the escapement,"Bilton, H.T.","Bilton, H.T.","Bilton, H.T./Returns of adult coho salmon in relation to mean size and time at release of juveniles to the catch and the escapement/Canadian technical report of fisheries and aquatic sciences","iv, 41 p."
Canada,Canadian technical report of fisheries and aquatic sciences 943,1980,2,DFO,Canadian technical report of fisheries and aquatic sciences,,,,Return to the fishery and escapement of adult coho salmon from accelerated juveniles released in the fall of 1974,"Bilton, H.T.","Bilton, H.T.; Jenkinson, D.W.","Bilton, H.T.; Jenkinson, D.W./Return to the fishery and escapement of adult coho salmon from accelerated juveniles released in the fall of 1974/Canadian technical report of fisheries and aquatic sciences","iv, 11 p."
Canada,Canadian data report of fisheries and aquatic sciences 201,1980,3,DFO,Canadian data report of fisheries and aquatic sciences,,,,"Pre- and post-impoundment experimental fish catches, Southern Indian Lake, Manitoba, 1972-1979","Bodaly, R.A.","Bodaly, R.A.; Erickson, R.N.; Fudge, R.J.","Bodaly, R.A.; Erickson, R.N.; Fudge, R.J./Pre- and post-impoundment experimental fish catches, Southern Indian Lake, Manitoba, 1972-1979/Canadian data report of fisheries and aquatic sciences",73 p
Canada,Canadian manuscript report of fisheries and aquatic sciences 1555,1980,3,DFO,Canadian manuscript report of fisheries and aquatic sciences,,,,"Post-impoundment changes in commercial fishing patterns and catch of lake whitefish (Coregonus clupeaformis) in Southern Indian Lake, Manitoba","Bodaly, R.A.","Bodaly, R.A.; Johnson, T.W.; Fudge, R.J.","Bodaly, R.A.; Johnson, T.W.; Fudge, R.J./Post-impoundment changes in commercial fishing patterns and catch of lake whitefish (Coregonus clupeaformis) in Southern Indian Lake, Manitoba/Canadian manuscript report of fisheries and aquatic sciences",14 p
Canada,Canadian technical report of fisheries and aquatic sciences 931,1980,1,DFO,Canadian technical report of fisheries and aquatic sciences,,,,"Pre- and post-spawning movements of walleye, Stizostedion vitreum, in Southern Indian Lake, Manitoba","Bodaly, R.A.","Bodaly, R.A.","Bodaly, R.A./Pre- and post-spawning movements of walleye, Stizostedion vitreum, in Southern Indian Lake, Manitoba/Canadian technical report of fisheries and aquatic sciences",30 p
Canada,Canadian data report of fisheries and aquatic sciences 227,1980,3,DFO,Canadian data report of fisheries and aquatic sciences,,,,"G.B. REED shrimp cruise 80-S-1, May 7-21, 1980; west coast of Vancouver Island and Queen Charlotte Sound","Boutillier, J.A.","Boutillier, J.A.; Pasmans, K.; Head, S.F.","Boutillier, J.A.; Pasmans, K.; Head, S.F./G.B. REED shrimp cruise 80-S-1, May 7-21, 1980; west coast of Vancouver Island and Queen Charlotte Sound/Canadian data report of fisheries and aquatic sciences",60 p
Canada,Canadian manuscript report of fisheries and aquatic sciences 1586,1980,3,DFO,Canadian manuscript report of fisheries and aquatic sciences,,,,Prawn trap exploration Queen Charlotte Islands February-March 1980,"Boutillier, J.A.","Boutillier, J.A.; Cooke, K.D.; McNaughton, R.J.","Boutillier, J.A.; Cooke, K.D.; McNaughton, R.J./Prawn trap exploration Queen Charlotte Islands February-March 1980/Canadian manuscript report of fisheries and aquatic sciences",122 p
Canada,Canadian manuscript report of fisheries and aquatic sciences 1576,1980,2,DFO,Canadian manuscript report of fisheries and aquatic sciences,,,,"Observations of abalone populations in Emily Carr Inlet and Lotbiniere Bay, April 1980","Breen, P.A.","Breen, P.A.; Adkins, B.E.","Breen, P.A.; Adkins, B.E./Observations of abalone populations in Emily Carr Inlet and Lotbiniere Bay, April 1980/Canadian manuscript report of fisheries and aquatic sciences",17 p
Canada,Canadian technical report of fisheries and aquatic sciences 947,1980,1,DFO,Canadian technical report of fisheries and aquatic sciences,,,,Measuring fishing intensity and annual production in the abalone fishery in British Columbia,"Breen, P.A.","Breen, P.A.","Breen, P.A./Measuring fishing intensity and annual production in the abalone fishery in British Columbia/Canadian technical report of fisheries and aquatic sciences","iv, 49 p."
Canada,Canadian data report of fisheries and aquatic sciences 222,1980,2,DFO,Canadian data report of fisheries and aquatic sciences,,,,Catalogue of salmon streams and spawning escapements of Statistical Areas 9 and 10 (Rivers Inlet and Smith Inlet),"Britton, E.W.","Britton, E.W.; Marshall, D.E.","Britton, E.W.; Marshall, D.E./Catalogue of salmon streams and spawning escapements of Statistical Areas 9 and 10 (Rivers Inlet and Smith Inlet)/Canadian data report of fisheries and aquatic sciences",164 p
Canada,Canadian manuscript report of fisheries and aquatic sciences 1556,1980,3,DFO,Canadian manuscript report of fisheries and aquatic sciences,,,,"Morphometry, hydrology, and watershed data pertinent to the limnology of Lake Winnipeg","Brunskill, G.J.","Brunskill, G.J.; Elliott, S.E.; Campbell, P.","Brunskill, G.J.; Elliott, S.E.; Campbell, P./Morphometry, hydrology, and watershed data pertinent to the limnology of Lake Winnipeg/Canadian manuscript report of fisheries and aquatic sciences",32 p
Canada,Canadian data report of fisheries and aquatic sciences 224,1980,1,DFO,Canadian data report of fisheries and aquatic sciences,,,,Catch and effort statistics of the Canadian shrimp fishery of the Pacific coast in 1979,"Butler, T.H.","Butler, T.H.","Butler, T.H./Catch and effort statistics of the Canadian shrimp fishery of the Pacific coast in 1979/Canadian data report of fisheries and aquatic sciences",5:00 PM
Canada,Canadian technical report of fisheries and aquatic sciences 997,1980,2,DFO,Canadian technical report of fisheries and aquatic sciences,,,,Review of the Grand Manan lobster fishery with an analysis of recent catch and effort trends,"Campbell, A.","Campbell, A.; Duggan, D.R.","Campbell, A.; Duggan, D.R./Review of the Grand Manan lobster fishery with an analysis of recent catch and effort trends/Canadian technical report of fisheries and aquatic sciences",20 p
Canada,Canadian technical report of fisheries and aquatic sciences 949,1980,2,DFO,Canadian technical report of fisheries and aquatic sciences,,,,"Growth and survival of walleye, Stizostedion vitreum vitreum (Mitchell) in rearing ponds near Lake Winnipegosis, Manitoba","Campbell, J.S.","Campbell, J.S.; Rowes, K.R.","Campbell, J.S.; Rowes, K.R./Growth and survival of walleye, Stizostedion vitreum vitreum (Mitchell) in rearing ponds near Lake Winnipegosis, Manitoba/Canadian technical report of fisheries and aquatic sciences","v, 17 p."
Canada,Canadian manuscript report of fisheries and aquatic sciences 1582,1980,2,DFO,Canadian manuscript report of fisheries and aquatic sciences,,,,"Sidestripe shrimp exploration, Queen Charlotte Islands, B.C.","Carmichael, J.R.","Carmichael, J.R.; Boutillier, J.A.","Carmichael, J.R.; Boutillier, J.A./Sidestripe shrimp exploration, Queen Charlotte Islands, B.C./Canadian manuscript report of fisheries and aquatic sciences",33 p
Canada,Canadian data report of fisheries and aquatic sciences 225,1980,4,DFO,Canadian data report of fisheries and aquatic sciences,,,,"Hake and pollock study, Strait of Georgia cruise, G.B. REED, January 13-28, 1976","Cass, A.J.","Cass, A.J.; Beamish, R.J.; Smith, M.S.; Weir, K.","Cass, A.J.; Beamish, R.J.; Smith, M.S.; Weir, K./Hake and pollock study, Strait of Georgia cruise, G.B. REED, January 13-28, 1976/Canadian data report of fisheries and aquatic sciences",88 p
Canada,Canadian industry report of fisheries and aquatic sciences 120,1980,2,DFO,Canadian industry report of fisheries and aquatic sciences,,,,Review of the 1978-1979 British Columbia herring fishery and spawn abundance,"Chalmers, D.D.","Chalmers, D.D.; Sprout, P.E.","Chalmers, D.D.; Sprout, P.E./Review of the 1978-1979 British Columbia herring fishery and spawn abundance/Canadian industry report of fisheries and aquatic sciences",51 p
Canada,Canadian data report of fisheries and aquatic sciences 182,1980,5,DFO,Canadian data report of fisheries and aquatic sciences,,,,"Species composition and seasonal abundance of zooplankton in Lake 227, Experimental Lakes Area, northwestern Ontario, 1969-1978","Chang, P.S.","Chang, P.S.; Malley, D.F.; Findlay, W.J.; Mueller, G.: Barnes, R.T.","Chang, P.S.; Malley, D.F.; Findlay, W.J.; Mueller, G.: Barnes, R.T./Species composition and seasonal abundance of zooplankton in Lake 227, Experimental Lakes Area, northwestern Ontario, 1969-1978/Canadian data report of fisheries and aquatic sciences",101 p
Canada,Canadian technical report of fisheries and aquatic sciences 938,1980,2,DFO,Canadian technical report of fisheries and aquatic sciences,,,,Fisheries and fish related publications in the Yukon Territory,"Cleugh, T.R.","Cleugh, T.R.; Russell, L.R.","Cleugh, T.R.; Russell, L.R./Fisheries and fish related publications in the Yukon Territory/Canadian technical report of fisheries and aquatic sciences",[54] p.
Canada,Canadian manuscript report of fisheries and aquatic sciences 1551,1980,3,DFO,Canadian manuscript report of fisheries and aquatic sciences,,,,Guide for preparing Canadian reports of fisheries and aquatic sciences,"Cook, D.G.","Cook, D.G.; Reinhart, J.M.; Watson, J.","Cook, D.G.; Reinhart, J.M.; Watson, J./Guide for preparing Canadian reports of fisheries and aquatic sciences/Canadian manuscript report of fisheries and aquatic sciences","iv, 14 p."
Canada,Canadian technical report of fisheries and aquatic sciences 950,1980,1,DFO,Canadian technical report of fisheries and aquatic sciences,,,,Effects of ambient pH on fish : an annotated bibliography,"Daye, P.G.","Daye, P.G.","Daye, P.G./Effects of ambient pH on fish : an annotated bibliography/Canadian technical report of fisheries and aquatic sciences",28 p
Canada,Canadian data report of fisheries and aquatic sciences 200,1980,2,DFO,Canadian data report of fisheries and aquatic sciences,,,,"Phytoplankton primary production, chlorophyll, and suspended carbon in the Experimental Lakes Area - 1979 data","DeClercq, D.R.","DeClercq, D.R.; Shearer, J.A.","DeClercq, D.R.; Shearer, J.A./Phytoplankton primary production, chlorophyll, and suspended carbon in the Experimental Lakes Area - 1979 data/Canadian data report of fisheries and aquatic sciences",46 p
Canada,Canadian manuscript report of fisheries and aquatic sciences 1557,1980,UFO,DFO,Canadian manuscript report of fisheries and aquatic sciences,,,,A marine biological study of Brevoort Harbour and nearby waters of eastern Baffin Island,DFO-MPO,DFO-MPO,DFO-MPO/A marine biological study of Brevoort Harbour and nearby waters of eastern Baffin Island/Canadian manuscript report of fisheries and aquatic sciences,208 p
Canada,Canadian technical report of fisheries and aquatic sciences 934,1980,UFO,DFO,Canadian technical report of fisheries and aquatic sciences,,,,"Physical oceanography, dissolved nutrients, phytoplankton production, plankton biomass and sedimentation in St. George's Bay, N.S., 1977",DFO-MPO,DFO-MPO,"DFO-MPO/Physical oceanography, dissolved nutrients, phytoplankton production, plankton biomass and sedimentation in St. George's Bay, N.S., 1977/Canadian technical report of fisheries and aquatic sciences",162 p
Canada,Canadian technical report of fisheries and aquatic sciences 933,1980,UFO,DFO,Canadian technical report of fisheries and aquatic sciences,,,,"Chlorophyll measurements from Lake Ontario, 1974-79",DFO-MPO,DFO-MPO,"DFO-MPO/Chlorophyll measurements from Lake Ontario, 1974-79/Canadian technical report of fisheries and aquatic sciences","viii, 75 p."
Canada,Canadian data report of fisheries and aquatic sciences 210,1980,2,DFO,Canadian data report of fisheries and aquatic sciences,,,,Oceanographic observations during fisheries research surveys off the British Columbia coast in 1979,"Dodimead, A.J.","Dodimead, A.J.; Ballantyne, A.","Dodimead, A.J.; Ballantyne, A./Oceanographic observations during fisheries research surveys off the British Columbia coast in 1979/Canadian data report of fisheries and aquatic sciences",90 p
Canada,Canadian manuscript report of fisheries and aquatic sciences 1574,1980,1,DFO,Canadian manuscript report of fisheries and aquatic sciences,,,,A general review of the oceanography of the Queen Charlotte Sound-Hecate Strait-Dixon Entrance region,"Dodimead, A.J.","Dodimead, A.J.","Dodimead, A.J./A general review of the oceanography of the Queen Charlotte Sound-Hecate Strait-Dixon Entrance region/Canadian manuscript report of fisheries and aquatic sciences",248 p
Canada,Canadian data report of fisheries and aquatic sciences 186,1980,3,DFO,Canadian data report of fisheries and aquatic sciences,,,,Data on the walleye Stizostedion vitreum (Mitchill) and other fish species from Mosquito Creek Northwest Territories 1973-78,"Falk, M.R.","Falk, M.R.; Gillman, D.V.; Read, C.J.","Falk, M.R.; Gillman, D.V.; Read, C.J./Data on the walleye Stizostedion vitreum (Mitchill) and other fish species from Mosquito Creek Northwest Territories 1973-78/Canadian data report of fisheries and aquatic sciences",44 p
Canada,Canadian data report of fisheries and aquatic sciences 199,1980,4,DFO,Canadian data report of fisheries and aquatic sciences,,,,"Data from the Arctic grayling sport fishery on the Kakisa River, Northwest Territories - 1979","Falk, M.R.","Falk, M.R.; Low, G.; Gillman, D.V.; Carder, G.W.","Falk, M.R.; Low, G.; Gillman, D.V.; Carder, G.W./Data from the Arctic grayling sport fishery on the Kakisa River, Northwest Territories - 1979/Canadian data report of fisheries and aquatic sciences",13 p
