Country,Comment,URL,Year,NumAuth,Agency,ReportSeries,Branch,Title,FirstAuthor,AllAuthors,Citation
USA,,,2011,3,ADFG,Special Publication,Subsistence Fisheries,,,,"Davin Holen, James A. Fall, Robbin La Vine. 2011. Customary and traditional use worksheet: salmon, Copper River District, Prince William Sound Management Area. Alaska Department of Fish and Game Division of Subsistence, Special Publication No. -006."
USA,,,2011,1,ADFG,Special Publication,Subsistence,,,,"Nicole M. Braem. 2011. Subsistence wildlife harvests in Deering, Alaska, 2007–2008. Alaska Department of Fish and Game Division of Subsistence, Special Publication No. -002."
USA,,,2011,2,ADFG,Special Publication,Subsistence,,,,"Davin Holen; James A. Fall. 2011. Overview of subsistence salmon fisheries in the Tyonek Subdistrict and Yentna River, Cook Inlet, Alaska. Alaska Department of Fish and Game Division of Subsistence, Special Publication No. -001."
USA,,,2011,3,ADFG,Special Publication,Subsistence,,,,"Davin Holen, James A. Fall, Robbin La Vine. 2011. Customary and traditional use worksheet: salmon, Copper River District, Prince William Sound Management Area. Alaska Department of Fish and Game Division of Subsistence, Special Publication No. -006."
USA,,,2011,3,ADFG,Special Publication,Sport Fish,,,,"Schwanke, C. J., S. Sonnichsen and S. J. Fleischman. 2011. Rainbow trout size in the Bristol Bay Sport Fish Management Area 1956–2002. Alaska Department of Fish and Game, Special Publication No. 11-15, Anchorage."
USA,,,2011,2,ADFG,Special Publication,Sport Fish,,,,"Schmidt, J. S. and D. G. Evans. 2011. Stock assessment of Buskin River coho salmon, 1989–2004. Alaska Department of Fish and Game, Special Publication No. 11-14, Anchorage."
USA,,,2011,1,ADFG,Special Publication,Sport Fish,,,,"Klein, J. 2011. Instream Flow Protection in Alaska, 1999-2009. Alaska Department of Fish and Game, Special Publication No. 11-01, Anchorage."
USA,,,2011,2,ADFG,Special Publication,Sport Fish,,,,"Johnson, J. and P. Blanche. 2011. Catalog of waters important for spawning, rearing, or migration of anadromous fishes - Interior region, effective June 1, 2011. Alaska Department of Fish and Game, Special Publication No. 11-05 Anchorage."
USA,,,2011,2,ADFG,Special Publication,Sport Fish,,,,"Johnson, J. and P. Blanche. 2011. Catalog of waters important for spawning, rearing, or migration of anadromous fishes - Southcentral region, effective June 1, 2011. Alaska Department of Fish and Game, Special Publication No. 11-06 Anchorage."
USA,,,2011,2,ADFG,Special Publication,Sport Fish,,,,"Johnson, J. and P. Blanche. 2011. Catalog of waters important for spawning, rearing, or migration of anadromous fishes - Southeastern region, effective June 1, 2011. Alaska Department of Fish and Game, Special Publication No. 11-07 Anchorage."
USA,,,2011,2,ADFG,Special Publication,Sport Fish,,,,"Johnson, J. and P. Blanche. 2011. Catalog of waters important for spawning, rearing, or migration of anadromous fishes - Southwestern region, effective June 1, 2011. Alaska Department of Fish and Game, Special Publication No. 11-08 Anchorage."
USA,,,2011,2,ADFG,Special Publication,Sport Fish,,,,"Johnson, J. and P. Blanche. 2011. Catalog of waters important for spawning, rearing, or migration of anadromous fishes - Western region, effective June 1, 2011. Alaska Department of Fish and Game, Special Publication No. 11-09 Anchorage."
USA,,,2011,2,ADFG,Special Publication,Sport Fish,,,,"Johnson, J. and P. Blanche. 2011. Catalog of waters important for spawning, rearing, or migration of anadromous fishes - Arctic region, effective June 1, 2011. Alaska Department of Fish and Game, Special Publication No. 11-04 Anchorage."
USA,,,2011,2,ADFG,Special Publication,Sport Fish,,,,"Harding, R. D. and C. L. Coyle. 2011. Southeast Alaska steelhead, trout, and Dolly Varden management. Alaska Department of Fish and Game, Special Publication No. 11-17, Anchorage."
USA,,,2011,8,ADFG,Special Publication,Sport Fish,,,,"Der Hovanisian, J., S. McPherson, E. Jones, P. Richards, R. Chapell, B. Elliott, T. Johnson and S. Fleischman. 2011. Chinook salmon status and escapement goals for stocks in Southeast Alaska. Alaska Department of Fish and Game, Special Publication No. 11-19 Anchorage."
USA,,,2011,2,ADFG,Special Publication,Sport Fish,,,,"Chadwick, B. and B. Frenette. 2011. Overview of the sport fisheries for king salmon in Southeast Alaska through 2011. Alaska Department of Fish and Game, Special Publication No. 11-22, Anchorage."
USA,,,2011,2,ADFG,Special Publication,Sport Fish,,,,"Chadwick, B. and B. Frenette. 2011. Overview of the sport fisheries for groundfish in Southeast Alaska through 2011. Alaska Department of Fish and Game, Special Publication No. 11-24, Anchorage."
USA,,,2011,5,ADFG,Special Publication,MultiDivision,,,,"Shaul, L., K. Crabtree, E. Jones, S. McCurdy and B. Elliott. 2011. Coho salmon stock status and escapement goals in Southeast Alaska. Alaska Department of Fish and Game, Special Publication No. 11-23, Anchorage."
USA,,,2011,2,ADFG,Special Publication,MultiDivision,,,,"Botz, J. and M. A. Somerville. 2011. Management of salmon stocks in the Copper River, report to the Alaska Board of Fisheries: December 2-7, 2011, Valdez, Alaska. Alaska Department of Fish and Game, Special Publication No. 11-13 Anchorage."
USA,,,2011,4,ADFG,Special Publication,MultiDivision,,,,"Bernard, D. R.,S. J. Jeffries, G. Knapp and A. W. Trites. 2011. An independent, scientific review of the biological opinion (2010) of the National Marine Fisheries Service fisheries management plan for the Bering Sea/Aleutian Islands management areas. Alaska Department of Fish and Game, Special Publication 11-16, Anchorage. "
USA,,,2011,2,ADFG,Special Publication,Commercial Fisheries,,,,"Zheng, J. and D. Pengilly. 2011. Overview of Proposed Harvest Strategy and Minimum Size Limits for Bering Sea District Tanner Crab. Alaska Department of Fish and Game, Special Publication No. 11-02, Anchorage."
USA,,,2011,2,ADFG,Special Publication,Commercial Fisheries,,,,"Webb, J. and D. Woodby. 2011. Summary of the interagency crab research meeting held December 15-17, 2010. Alaska Department of Fish and Game, Special Publication No. 11-11, Juneau."
USA,,,2011,2,ADFG,Special Publication,Commercial Fisheries,,,,"Piston, A. W. and S. C. Heinl. 2011. Chum salmon stock status and escapement goals in Southeast Alaska. Alaska Department of Fish and Game, Special Publication No. 11-21 Anchorage."
USA,,,2011,2,ADFG,Special Publication,Commercial Fisheries,,,,"Piston, A. W. and S. C. Heinl. 2011. Pink salmon stock status and escapement goals in Southeast Alaska. Alaska Department of Fish and Game, Special Publication No. 11-18, Anchorage."
USA,,,2011,3,ADFG,Special Publication,Commercial Fisheries,,,,"Heinl, S. C., R. L. Bachman and K. Jensen. 2011. Sockeye salmon stock status and escapement goals in Southeast Alaska. Alaska Department of Fish and Game, Special Publication No. 11-20, Anchorage."
USA,,,2011,10,ADFG,Special Publication,Commercial Fisheries,,,,"Eggers, D. M., M. J. Witteveen, T. T. Baker, D. F. Evenson, J. M. Berger, H. A. Hoyt, H. L. Hildebrand, W. D. Templin, C. Habicht, and E. C. Volk. 2011. Results from sampling the 2006–2009 commercial and subsistence fisheries in the Western Alaska Salmon Stock Identification Project. Alaska Department of Fish and Game, Special Publication No. 11-10, Anchorage."
USA,,,2011,2,ADFG,Special Publication,Commercial Fisheries,,,,"Eggers, D. M. and A. M. Carroll. 2011. Run forecasts and harvest projections for 2011 Alaska salmon fisheries and review of the 2010 season. Alaska Department of Fish and Game, Special Publication No. 11-03, Anchorage."
USA,,,2011,2,ADFG,Special Publication,Commercial Fisheries,,,,"Botz, J. and T. Sheridan. 2011. Prince William Sound area commercial salmon fisheries, 2011: a report to the Alaska Board of Fisheries. Alaska Department of Fish and Game, Special Publication No. 11-12, Anchorage."
USA,,,2011,3,ADFG,Fishery Manuscript,Sport Fish,,,,"Fleischman, S. J., J. A. Der Hovanisian and S. A. McPherson. 2011. Escapement goals for Chinook salmon in the Blossom and Keta rivers. Alaska Department of Fish and Game, Fishery Manuscript No. 11-05, Anchorage."
USA,,,2011,4,ADFG,Fishery Manuscript,MultiDiv,,,,"Fair, L. F., S. D. Moffitt, M. J. Evenson, and J. W. Erickson. 2011. Escapement goal review of Copper and Bering rivers, and Prince William Sound Pacific salmon stocks, 2011. Alaska Department of Fish and Game, Fishery Manuscript No. 11–07, Anchorage."
USA,,,2011,2,ADFG,Fishery Manuscript,MultiDiv,,,,"Eggers, D. M. and D. R. Bernard. 2011. Run reconstruction and escapement goals for Alsek River sockeye salmon. Alaska Department of Fish and Game, Fishery Manuscript Series No. 11-01 Anchorage."
USA,,,2011,3,ADFG,Fishery Manuscript,Commercial,,,,"Templin, W. D., J.M. Berger, and L.W. Seeb. 2011. 2011 Mixed stock analysis of Chinook salmon harvested in the Southeast Alaska commercial troll fishery, 1999–2003. Alaska Department of Fish and Game, Fishery Manuscript Series No. 11-03, Anchorage."
USA,,,2011,5,ADFG,Fishery Manuscript,Commercial,,,,"Templin, W. D., A. W. Barclay, J. M. Berger, L. W. Seeb and S. D. Moffitt. 2011. Genetic stock identification of Copper River Chinook salmon harvest, 2005–2008. Alaska Department of Fish and Game, Fishery Manuscript Series No. 11-08 Anchorage."
USA,,,2011,7,ADFG,Fishery Manuscript,Commercial,,,,"Ruggerone, G. T., B. A. Agler, S. E. Gilk, D. B. Molyneaux, D. J. Costello, D. E. Orabutt and D. B. Young. 2011. Habitat and growth of river-type sockeye salmon in the Kuskokwim watershed, Alaska. in cooperation with Natural Resources Consultants Inc.Chapter 2 [in] Gilk, S. E., D. B. Molyneaux and Z. W. Liller, editors.Kuskokwim River sockeye salmon investigations, 2006 and 2007. Alaska Department of Fish and Game, Fishery Manuscript No. 11-04."
USA,,,2011,3,ADFG,Fishery Manuscript,Commercial,,,,"Orabutt, D. E., J. M. Thalhauser and E. Patton. 2011. Outreach and capacity building associated with the Kuskokwim River sockeye salmon investigations. Prepared in cooperation with Kuskokwim Native Association, [in] Gilk, S. E., D. B. Molyneaux and Z. W. Liller, editors. 2011. Kuskokwim River sockeye salmon investigations, 2006 and 2007. ADF&G Fishery Manuscript Series 11-04."
USA,,,2011,2,ADFG,Fishery Manuscript,Commercial,,,,"Munro, A. R., and E. C. Volk. 2011. Summary of Pacific salmon escapement goals in Alaska with a review of escapements from 2002 to 2010. Alaska Department of Fish and Game, Fishery Manuscript Series No. 11-06, Anchorage."
USA,,,2011,4,ADFG,Fishery Manuscript,Commercial,,,,"Maxwell, S. L., A. V. Faulkner, L. Fair, and X. Zhang. 2011. A comparison of estimates from 2 hydroacoustic systems used to assess sockeye salmon escapement in 5 Alaska Rivers. Alaska Department of Fish and Game, Fishery Manuscript Series No. 11-02, Anchorage."
USA,,,2011,1,ADFG,Fishery Manuscript,Commercial,,,,"Hamazaki, T. 2011. Reconstruction of subsistence salmon harvests in the Kuskokwim Area, 1990–2009. Alaska Department of Fish and Game, Fishery Manuscript Series No. 11-09 Anchorage."
USA,,,2011,4,ADFG,Fishery Manuscript,Commercial,,,,"Gilk, S. E., D. B. Molyneaux, D. B. Young and T. Hamazaki. 2011. Kuskokwim River sockeye salmon distribution, relative abundance, and stock-specific run timing. Chapter 1 [in] Gilk, S. E., D. B. Molyneaux and Z. W. Liller, editors. 2011. Kuskokwim River sockeye salmon investigations, 2006 and 2007. Alaska Department of Fish and Game, Fishery Manuscript Series No. 11-04 Anchorage."
USA,,,2011,3,ADFG,Fishery Manuscript,Commercial,,,,"Gilk, S. E., D. B. Molyneaux and Z. W. Liller. 2011. Kuskokwim River sockeye salmon investigations, 2006 and 2007. Alaska Department of Fish and Game, Fishery Manuscript Series No. 11-04 Anchorage. "
USA,,,2011,1,ADFG,Fishery Management Report,Sport Fish,,,,"Somerville, M. A. 2011. Fishery management report for the recreational fisheries of the Upper Copper/Upper Susitna River management area, 2009. Alaska Department of Fish and Game, Fishery Management Report No. 11-38, Anchorage."
USA,,,2011,1,ADFG,Fishery Management Report,Sport Fish,,,,"Somerville, M. A. 2011. Fishery management report for the recreational fisheries of the Upper Copper/Upper Susitna River management area, 2010. Alaska Department of Fish and Game, Fishery Management Report No. 11-55 Anchorage."
USA,,,2011,1,ADFG,Fishery Management Report,Sport Fish,,,,"Scanlon, B. 2011. Fishery Management Report for sport fisheries in the Northwest/North Slope Management Area, 2009. Alaska Department of Fish and Game, Fishery Management Report No. 11-32 Anchorage."
USA,,,2011,3,ADFG,Fishery Management Report,Sport Fish,,,,"Hochhalter, S. J., B. J. Blain, and B. J. Failor. 2011. Recreational fisheries in the Prince William Sound Management Area, 2008–2010. Alaska Department of Fish and Game, Fishery Management Report No. 11-54, Anchorage."
USA,,,2011,1,ADFG,Fishery Management Report,Sport Fish,,,,"Chythlook, J. 2011. Fishery management report for sport fisheries in the Kuskokwim-Goodnews Management Area, 2009. Alaska Department of Fish and Game, Fishery Management Report Series No. 11-48, Anchorage."
USA,,,2011,1,ADFG,Fishery Management Report,Sport Fish,,,,"Burr, J. 2011. Fishery Management Report for sport fisheries in the Yukon Management Area, 2009. Alaska Department of Fish and Game, Fishery Management Report No. 11-37 Anchorage."
USA,,,2011,2,ADFG,Fishery Management Report,Sport Fish,,,,"Brase, A. L. J. and B. Baker. 2011. Fishery management report for recreational fisheries in the Tanana River management area, 2009. Alaska Department of Fish and Game, Fishery Management Report No. 11–17, Anchorage."
USA,,,2011,2,ADFG,Fishery Management Report,Commercial,,,,"Woods, G. F. and N. L. Zeiser. 2011. Annual Management Report of the 2010 Yakutat Area commercial salmon fisheries. Alaska Department of Fish and Game, Fishery Management Report No. 11-51, Anchorage."
USA,,,2011,2,ADFG,Fishery Management Report,Commercial,,,,"Woods, G. F. and N. L. Zeiser. 2011. Annual management report of the 2009 Yakutat Area commercial salmon fisheries. Alaska Department of Fish and Game, Fishery Management Report No. 11-03, Anchorage."
USA,,,2011,1,ADFG,Fishery Management Report,Commercial,,,,"Witteveen, M. J. 2011. Pasagshak River weir report, 2011. Alaska Department of Fish and Game, Fishery Management Report No. 11-50, Anchorage."
USA,,,2011,1,ADFG,Fishery Management Report,Commercial,,,,"White, B. 2011. Alaska salmon fisheries enhancement program 2010 annual report. Alaska Department of Fish and Game, Fishery Management Report No. 11-04, Anchorage."
USA,,,2011,3,ADFG,Fishery Management Report,Commercial,,,,"Trowbridge, C. E., E. Russ, and C. Russ. 2011. Annual management report for Pacific cod fisheries in the Prince William Sound and Cook Inlet Management Areas, 2010. Alaska Department of Fish and Game, Fishery Management Report No. 11-47, Anchorage. "
USA,,,2011,2,ADFG,Fishery Management Report,Commercial,,,,"Tingley, A., and W. Davidson. 2011. Overview of the 2010 Southeast Alaska and Yakutat commercial, personal use, and subsistence salmon fisheries. Alaska Department of Fish and Game, Fishery Management Report No.11-39, Anchorage."
USA,,,2011,1,ADFG,Fishery Management Report,Commercial,,,,"Tiernan, A. R. 2011. Kodiak Management Area weir descriptions and salmon escapement report, 2010. Alaska Department of Fish and Game, Fishery Management Report No. 11-08, Anchorage."
USA,,,2011,1,ADFG,Fishery Management Report,Commercial,,,,"Tiernan, A. R. 2011. Kodiak Management Area weir descriptions and salmon escapement report, 2011. Alaska Department of Fish and Game, Fishery Management Report No. 11-73, Anchorage."
USA,,,2011,1,ADFG,Fishery Management Report,Commercial,,,,"Thomsen, S. 2011. A compilation of the 2010 Spiridon Lake sockeye salmon enhancement project results: A report to the Kodiak National Wildlife Refuge. Alaska Department of Fish and Game, Fishery Management Report No. 11-13, Anchorage."
USA,,,2011,1,ADFG,Fishery Management Report,Commercial,,,,"Thomsen, S. 2011. A seasonal summary of the Hidden Lake sockeye salmon stocking project and related criteria for 2010. Alaska Department of Fish and Game, Fishery Management Report No. 11-25, Anchorage."
USA,,,2011,4,ADFG,Fishery Management Report,Commercial,,,,"Stratman, J., G. Bishop, A. Messmer and C. Siddon. 2011. 2012 Report to the Alaska Board of Fisheries on Southeast Alaska/Yakutat Tanner crab fisheries. Alaska Department of Fish and Game, Fishery Management Report No. 11-57, Anchorage."
USA,,,2011,5,ADFG,Fishery Management Report,Commercial,,,,"Stratman, J., A. Messmer, G. Bishop, C. Siddon, A. Olson. 2011. 2012 Report to the Alaska Board of Fisheries on Southeast Alaska/Yakutat king crab fisheries. Alaska Department of Fish and Game, Fishery Management Report No. 11-68, Anchorage."
USA,,,2011,2,ADFG,Fishery Management Report,Commercial,,,,"Stratman, J. and A. Messmer. 2011. 2012 Report to the Alaska Board of Fisheries on Yakutat scallop fisheries. Alaska. Alaska Department of Fish and Game, Fishery Management Report No. 11-52 Anchorage."
USA,,,2011,3,ADFG,Fishery Management Report,Commercial,,,,"Stichert, M. A., K. Phillips, and P. Converse. 2011. Annual management report for groundfish fisheries in the Kodiak, Chignik, and South Alaska Peninsula Management Areas, 2010. Alaska Department of Fish and Game, Fishery Management Report No.11-44, Anchorage."
